1|2112|de    |2026-01-04 19:36:15.547
1|2113|en-au |2026-01-04 19:36:15.560
1|2114|en-ca |2026-01-04 19:36:15.583
1|2115|en-gb |2026-01-04 19:36:15.593
1|2116|en-ie |2026-01-04 19:36:15.603
1|2117|en-nz |2026-01-04 19:36:15.613
1|2118|id    |2026-01-04 19:36:15.640
1|2119|it    |2026-01-04 19:36:15.650
1|2120|ja    |2026-01-04 19:36:15.660
1|2121|ko    |2026-01-04 19:36:15.667
1|2122|nl    |2026-01-04 19:36:15.677
1|2123|pt    |2026-01-04 19:36:15.687
1|2124|ru    |2026-01-04 19:36:15.700
1|2125|tr    |2026-01-04 19:36:15.713
1|2126|vi    |2026-01-04 19:36:15.723
1|2127|zh    |2026-01-04 19:36:15.740
2|2128|de    |2026-01-04 19:36:43.083
2|2129|en-au |2026-01-04 19:36:43.093
2|2130|en-ca |2026-01-04 19:36:43.103
2|2131|en-gb |2026-01-04 19:36:43.110
2|2132|en-ie |2026-01-04 19:36:43.120
2|2133|en-nz |2026-01-04 19:36:43.130
2|2135|id    |2026-01-04 19:36:43.160
2|2136|it    |2026-01-04 19:36:43.170
2|2137|ja    |2026-01-04 19:36:43.180
2|2138|ko    |2026-01-04 19:36:43.190
2|2139|nl    |2026-01-04 19:36:43.197
2|2140|pt    |2026-01-04 19:36:43.207
2|2141|ru    |2026-01-04 19:36:43.217
2|2142|tr    |2026-01-04 19:36:43.233
2|2143|vi    |2026-01-04 19:36:43.240
2|2144|zh    |2026-01-04 19:36:43.250
3|2145|de    |2026-01-04 19:37:08.430
3|2146|en-au |2026-01-04 19:37:08.440
3|2147|en-ca |2026-01-04 19:37:08.450
3|2148|en-gb |2026-01-04 19:37:08.460
3|2149|en-ie |2026-01-04 19:37:08.470
3|2150|en-nz |2026-01-04 19:37:08.480
3|2151|id    |2026-01-04 19:37:08.507
3|2152|it    |2026-01-04 19:37:08.513
3|2153|ja    |2026-01-04 19:37:08.523
3|2154|ko    |2026-01-04 19:37:08.530
3|2155|nl    |2026-01-04 19:37:08.540
3|2156|pt    |2026-01-04 19:37:08.550
